City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Takoradi,GH,79.83,broken clouds,4.8845,-1.7554,Raybow International Hotel
5,Diffa,NE,76.06,clear sky,13.3154,12.6113,ProDAF/Diffa
7,Namibe,AO,77.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
10,Ouidah,BJ,84.2,few clouds,6.3631,2.0851,Djegba Hotel
16,Arraial Do Cabo,BR,76.17,few clouds,-22.9661,-42.0278,Pousada Porto Praia
18,Rikitea,PF,77.32,scattered clouds,-23.1203,-134.9692,Pension Maro'i
23,Atar,MR,84.29,broken clouds,20.5169,-13.0499,Oumou Elghoura
24,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
25,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
27,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
32,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
34,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
38,Karaton,ID,82.99,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
40,Mildura,AU,82.4,clear sky,-34.2,142.15,Mercure Hotel Mildura
42,Lorengau,PG,81.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
46,Belmonte,BR,75.2,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
47,Bengkulu,ID,76.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Kieta,PG,83.73,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
52,Ambunti,PG,76.51,overcast clouds,-4.2365,142.8448,Ambunti Lodge
53,Nicoya,CR,82.4,clear sky,10.1483,-85.45200000000001,Guayacan Real
55,Kavieng,PG,83.25,broken clouds,-2.5744,150.7967,Nusa Island Retreat
56,Nagua,DO,80.6,few clouds,19.3832,-69.8474,Hotel Cambri
67,Atuona,PF,80.73,overcast clouds,-9.8,-139.0333,Villa Enata
68,Batemans Bay,AU,75.99,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
72,Bandarbeyla,SO,77.16,overcast clouds,9.4942,50.8122,JABIR HOTEL
75,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Faanui,PF,81.9,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Mazatlan,MX,86.0,few clouds,23.2167,-106.4167,Hotel Club Playamar
85,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
103,Alice Springs,AU,75.2,clear sky,-23.7,133.8833,Desert Palms Alice Springs
106,Natal,BR,77.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
107,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
112,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
121,Maroantsetra,MG,75.9,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
123,Butaritari,KI,82.96,broken clouds,3.0707,172.7902,Isles Sunset Lodge
126,Caravelas,BR,76.84,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
130,Hambantota,LK,76.69,overcast clouds,6.1241,81.1185,Bungalow 63
140,Katobu,ID,81.1,overcast clouds,-4.9408,122.5276,La Ode Husein
142,Kimbe,PG,83.95,light rain,-5.5502,150.1429,Kimbe Bay Hotel
143,Dubti,ET,80.04,clear sky,11.7361,41.0853,degu Shiferaw
144,Abeche,TD,79.88,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
145,Kiama,AU,80.01,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
148,Bambanglipuro,ID,78.04,overcast clouds,-7.95,110.2833,Puri Brata
150,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
151,Qui Nhon,VN,78.85,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
153,Georgetown,MY,80.01,light rain,5.4112,100.3354,Cititel Penang
156,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
158,Galle,LK,78.94,scattered clouds,6.0367,80.217,Amangalla
160,Dwarka,IN,78.75,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
174,Ko Samui,TH,82.33,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
176,Caxito,AO,78.8,light rain,-8.5785,13.6643,
181,Hithadhoo,MV,83.44,scattered clouds,-0.6,73.0833,Scoop Guest House
183,Chalisgaon,IN,79.65,few clouds,20.4667,75.0167,Shree Datta
185,Altus,US,75.2,clear sky,34.6381,-99.334,Holiday Inn Express & Suites Altus
186,Kununurra,AU,84.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
188,Port Keats,AU,78.51,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
190,Corn Island,NI,80.26,scattered clouds,12.1694,-83.0418,Big Fish Guest House
