City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,73.99,35,54,17.0,broken clouds
1,Takoradi,GH,4.8845,-1.7554,79.83,88,63,9.98,broken clouds
2,Callaway,US,30.153,-85.5699,59.0,64,31,3.0,scattered clouds
3,Luderitz,NA,-26.6481,15.1594,69.93,54,0,15.23,clear sky
4,Torbay,CA,47.6666,-52.7314,37.0,100,90,13.8,fog
5,Diffa,NE,13.3154,12.6113,76.06,14,9,9.1,clear sky
6,New Norfolk,AU,-42.7826,147.0587,64.0,48,19,5.01,few clouds
7,Namibe,AO,-15.1961,12.1522,77.43,82,42,4.12,scattered clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,68.0,88,0,8.05,light rain
9,Norman Wells,CA,65.282,-126.8329,12.2,57,75,6.91,broken clouds
10,Ouidah,BJ,6.3631,2.0851,84.2,84,20,11.5,few clouds
11,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
12,Navolato,MX,24.7672,-107.6944,91.4,25,40,11.5,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,39.2,75,40,20.71,scattered clouds
14,Cape Town,ZA,-33.9258,18.4232,64.4,94,75,6.91,broken clouds
15,Berezovyy,RU,51.6667,135.7,29.41,45,13,5.84,few clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,76.17,74,13,8.12,few clouds
17,Hermanus,ZA,-34.4187,19.2345,64.0,91,0,3.0,clear sky
18,Rikitea,PF,-23.1203,-134.9692,77.32,65,26,17.36,scattered clouds
19,Clyde River,CA,70.4692,-68.5914,-14.8,76,75,2.3,broken clouds
20,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,59,90,10.36,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,41.0,81,20,5.75,few clouds
22,Sitka,US,57.0531,-135.33,39.2,75,75,3.44,broken clouds
23,Atar,MR,20.5169,-13.0499,84.29,19,60,8.48,broken clouds
24,Kapaa,US,22.0752,-159.319,78.8,65,75,19.57,light rain
25,Vaini,TO,-21.2,-175.2,77.0,78,90,9.22,light rain
26,Hobart,AU,-42.8794,147.3294,64.4,36,40,12.66,scattered clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,38,7.0,scattered clouds
28,Padang,ID,-0.9492,100.3543,75.2,78,40,6.91,scattered clouds
29,Byron Bay,AU,-28.65,153.6167,73.4,73,75,12.66,light rain
30,Port Alfred,ZA,-33.5906,26.891,61.43,82,76,12.62,broken clouds
31,Asau,RO,46.4333,26.4,37.99,69,100,4.14,overcast clouds
32,Touros,BR,-5.1989,-35.4608,75.2,100,75,3.44,broken clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,20,5.75,few clouds
34,Carnarvon,AU,-24.8667,113.6333,80.6,44,0,14.97,clear sky
35,Ayagoz,KZ,47.9714,80.4392,32.2,59,0,7.72,clear sky
36,Castro,BR,-24.7911,-50.0119,58.53,91,25,5.41,scattered clouds
37,Ancud,CL,-41.8697,-73.8203,52.0,87,0,1.14,clear sky
38,Karaton,ID,-6.3424,106.1045,82.99,89,75,4.61,broken clouds
39,Vostok,RU,46.4856,135.8833,27.73,44,63,5.75,broken clouds
40,Mildura,AU,-34.2,142.15,82.4,26,0,2.3,clear sky
41,Yellowknife,CA,62.456,-114.3525,9.0,61,20,10.36,few clouds
42,Lorengau,PG,-2.0226,147.2712,81.7,80,100,9.86,overcast clouds
43,Mataura,NZ,-46.1927,168.8643,60.01,91,36,4.0,scattered clouds
44,Leningradskiy,RU,69.3833,178.4167,-5.78,88,100,5.32,overcast clouds
45,Oskarshamn,SE,57.2645,16.4484,34.0,74,21,5.75,few clouds
46,Belmonte,BR,-15.8631,-38.8828,75.2,94,40,3.44,light rain
47,Bengkulu,ID,-3.8004,102.2655,76.5,84,94,15.37,overcast clouds
48,Provideniya,RU,64.3833,-173.3,9.7,80,100,9.37,overcast clouds
49,Tura,IN,25.5198,90.2201,67.41,36,2,0.02,clear sky
50,Kieta,PG,-6.2167,155.6333,83.73,77,100,7.09,moderate rain
51,Mehamn,NO,71.0357,27.8492,32.63,87,100,22.95,light snow
52,Ambunti,PG,-4.2365,142.8448,76.51,93,100,0.96,overcast clouds
53,Nicoya,CR,10.1483,-85.452,82.4,54,0,25.32,clear sky
54,Lahij,YE,13.1667,44.5833,73.42,45,80,2.19,broken clouds
55,Kavieng,PG,-2.5744,150.7967,83.25,73,83,3.42,broken clouds
56,Nagua,DO,19.3832,-69.8474,80.6,74,20,5.48,few clouds
57,Sept-Iles,CA,50.2001,-66.3821,28.4,74,75,4.61,broken clouds
58,Cherskiy,RU,68.75,161.3,-2.29,89,57,5.28,broken clouds
59,Manjacaze,MZ,-24.7117,33.8828,72.03,75,66,8.23,broken clouds
60,Longyearbyen,SJ,78.2186,15.6401,21.2,63,75,11.5,broken clouds
61,Kayerkan,RU,69.3497,87.7602,-12.57,84,2,8.41,clear sky
62,Mulgund,IN,15.25,75.5333,69.76,71,36,8.72,scattered clouds
63,Honggang,CN,46.4667,124.8667,41.14,21,0,11.54,clear sky
64,Fortuna,US,40.5982,-124.1573,57.0,71,20,10.36,few clouds
65,Maldonado,UY,-34.6667,-54.9167,66.2,88,20,9.22,few clouds
66,Ajaccio,FR,42.0,8.9167,51.8,87,0,4.61,clear sky
67,Atuona,PF,-9.8,-139.0333,80.73,75,98,12.17,overcast clouds
68,Batemans Bay,AU,-35.7167,150.1833,75.99,66,2,1.01,clear sky
69,Bilibino,RU,68.0546,166.4372,-1.25,77,58,1.05,broken clouds
70,College,US,64.8569,-147.8028,30.0,80,90,2.62,snow
71,Kruisfontein,ZA,-34.0033,24.7314,59.74,59,11,5.53,few clouds
72,Bandarbeyla,SO,9.4942,50.8122,77.16,80,91,3.02,overcast clouds
73,Helena,US,46.5927,-112.0361,69.8,14,1,17.27,clear sky
74,Kitob,UZ,39.0843,66.8332,57.2,72,90,16.11,overcast clouds
75,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,5.75,light rain
76,Arak,IR,34.0917,49.6892,39.72,35,0,3.87,clear sky
77,Qaanaaq,GL,77.484,-69.3632,-19.79,83,99,7.18,overcast clouds
